step,stage,machine_id,machine_age,in_maintenance,maintenance_timer,failed,buffer_level,wips_in_machine,wips_held,action,reward
36,1,2,1.0,0,0,0,0,100,0,0,-1000.0
36,1,3,0.0,1,1,0,0,0,0,0,-1000.0
37,0,0,0.0,1,2,0,1000,0,0,1,-12000.0
37,0,1,2.0,0,0,0,1000,100,0,0,-12000.0
37,1,2,0.0,1,2,0,100,0,0,1,-12000.0
37,1,3,1.0,0,0,0,100,100,0,1,-12000.0
38,0,0,0.0,1,1,0,1000,0,0,1,-14000.0
38,0,1,0.0,1,2,0,1000,0,0,1,-14000.0
38,1,2,0.0,1,1,0,200,0,0,0,-14000.0
38,1,3,0.0,1,2,0,200,0,0,1,-14000.0
39,0,0,1.0,0,0,0,900,100,0,1,-2000.0
39,0,1,0.0,1,1,0,900,0,0,1,-2000.0
39,1,2,1.0,0,0,0,100,100,0,0,-2000.0
39,1,3,0.0,1,1,0,100,0,0,0,-2000.0
40,0,0,2.0,0,0,0,700,100,0,0,-0.0
40,0,1,1.0,0,0,0,700,100,0,0,-0.0
40,1,2,2.0,0,0,0,0,100,0,0,-0.0
40,1,3,1.0,0,0,0,0,100,0,0,-0.0
41,0,0,3.0,0,0,0,1400,100,0,0,-15500.0
41,0,1,0.0,1,2,0,1400,0,0,1,-15500.0
41,1,2,3.0,0,0,0,100,100,0,0,-15500.0
41,1,3,0.0,1,2,0,100,0,0,1,-15500.0
42,0,0,0.0,1,2,0,1400,0,0,1,-17000.0
42,0,1,0.0,1,1,0,1400,0,0,0,-17000.0
42,1,2,0.0,1,5,1,200,0,0,0,-17000.0
42,1,3,0.0,1,1,0,200,0,0,0,-17000.0
43,0,0,0.0,1,1,0,1300,0,0,1,-2000.0
43,0,1,1.0,0,0,0,1300,100,0,0,-2000.0
43,1,2,0.0,1,4,1,100,0,0,1,-2000.0
43,1,3,1.0,0,0,0,100,100,0,0,-2000.0
44,0,0,1.0,0,0,0,1100,100,0,1,-7000.0
44,0,1,2.0,0,0,0,1100,100,0,0,-7000.0
44,1,2,0.0,1,3,1,200,0,0,0,-7000.0
44,1,3,0.0,1,2,0,200,0,0,1,-7000.0
45,0,0,2.0,0,0,0,1000,100,0,0,-8000.0
45,0,1,0.0,1,2,0,1000,0,0,1,-8000.0
45,1,2,0.0,1,2,1,400,0,0,1,-8000.0
45,1,3,0.0,1,1,0,400,0,0,1,-8000.0
46,0,0,0.0,1,2,0,1000,0,0,1,-8000.0
46,0,1,0.0,1,1,0,1000,0,0,0,-8000.0
46,1,2,0.0,1,1,1,400,0,0,0,-8000.0
46,1,3,1.0,0,0,0,400,100,0,0,-8000.0
47,0,0,0.0,1,1,0,900,0,0,1,-1000.0
47,0,1,1.0,0,0,0,900,100,0,0,-1000.0
47,1,2,1.0,0,0,0,200,100,0,1,-1000.0
47,1,3,2.0,0,0,0,200,100,0,0,-1000.0
48,0,0,1.0,0,0,0,1400,100,0,1,-5410.0
48,0,1,2.0,0,0,0,1400,100,0,0,-5410.0
